listing_id,name,host_id,host_name,district_eng,latitude,longitude,room_type,price,district_tr
207412,Single private room(Orange),666066,Ali,Beyoglu,41.02941,28.977590000000003,Private room,109,Beyoğlu
207933,GORGEOUS BOSPHORUS VIEW! COMFY ROOM,1023387,Daniele,Beyoglu,41.035059999999994,28.99193,Private room,272,Beyoğlu
210496,6-Cabin Yacht with A/C,1038139,Burchan,Beykoz,41.0787,29.085959999999996,Private room,2588,Beykoz
213816,Stay near Bagdat Avenue - 3BR apt,767876,Pelin,Kadikoy,40.975429999999996,29.06553,Entire home/apt,574,Kadıköy
214188,decent quality/price balance in Ist,1105099,Necip,Fatih,41.019,28.92851,Private room,103,Fatih
214190,Best location - Orange,1105223,Serkan,Beyoglu,41.02918,28.983309999999996,Private room,151,Beyoğlu
220131,Charming Delightful Studio@Centre 4,466302,Fati,Beyoglu,41.02874,28.9766,Entire home/apt,151,Beyoğlu
220149,Sultan,182639,Mehmet Ali,Beyoglu,41.02845,28.978920000000002,Entire home/apt,393,Beyoğlu
221430,GREAT LOCATION & CLEAN&STYLISH,973997,Shinnosuke,Beyoglu,41.03533,28.973409999999998,Private room,133,Beyoğlu
222535,Cozy apartment in Kuzguncuk,220212,Yesim,Uskudar,41.03382,29.03173,Entire home/apt,302,Üsküdar
224612,My nice flat in Nisantasi/ ,1169188,Esin,Sisli,41.05585,28.99103,Private room,272,Şişli
224910,The Heart of Istanbul,1171112,Marya,Basaksehir,41.106190000000005,28.73866,Entire home/apt,677,Başakşehir
226255,Harem,182639,Mehmet Ali,Beyoglu,41.02865,28.979190000000003,Entire home/apt,399,Beyoğlu
227513,Exclusive Apart with Kitchenette,1186560,Ramiz,Fatih,41.0029,28.977870000000003,Private room,405,Fatih
229498,Cozy studio apartment in Cihangir,1167189,Bilgehan,Beyoglu,41.030770000000004,28.98118,Entire home/apt,411,Beyoğlu
231869,Nice and Clean Lovely Room Cihangir,1004513,Defne,Beyoglu,41.03073,28.98167,Private room,272,Beyoğlu
237993,Cozy Room in the Heart of Kadıköy,1212675,Basak,Kadikoy,40.98598,29.026670000000003,Private room,103,Kadıköy
237994,Comfy Furnished Room in a Cozy Home,1212675,Basak,Kadikoy,40.986270000000005,29.02542,Private room,121,Kadıköy
238904,2  PRIVATE ROOMS IN SULTANAHMET ,1252482,Ramazan,Fatih,41.0068,28.978740000000002,Private room,393,Fatih
241516,FLAT WITH HISTORICAL VIEW,1267497,Ahmet,Kadikoy,40.98441,29.02177,Entire home/apt,375,Kadıköy
244604,FULL EQUIPPED FLAT IN OLD ISTANBUL,1283374,Timur,Fatih,41.013090000000005,28.943309999999997,Private room,508,Fatih
247874,"Istiklal Avenue,Sadri alisik street",1298849,Berkan,Beyoglu,41.03433,28.98221,Entire home/apt,67,Beyoğlu
248304,Avrupa Residence Suites Istanbul 1+1 80m2,1300759,Ercan,Gaziosmanpasa,41.08744,28.90203,Entire home/apt,574,Gaziosmanpaşa
251414,"Apartment in Montmartre, Paris",1318632,Bahar,Beyoglu,41.03203,28.985640000000004,Entire home/apt,339,Beyoğlu
253055,CIHANGIR | Stunning Bosphorus View!,852380,Ilker,Beyoglu,41.03297,28.98488,Entire home/apt,913,Beyoğlu
253859,A boutique experience in Istanbul ,1333286,Erdal,Beyoglu,41.03324,28.9811,Private room,611,Beyoğlu
254664,Sur la place de la tour de Galata,1337721,Hervé,Beyoglu,41.024370000000005,28.9748,Entire home/apt,677,Beyoğlu
256825,BLUE Mosque walking&Grand pazar مشي لكل مكان,1351134,Bãśmä,Fatih,41.01106,28.94568,Private room,103,Fatih
256838,"Down town,walk to everywhereوسط اسطنبول يوسف باشا",1351134,Bãśmä,Fatih,41.01232,28.947059999999997,Private room,109,Fatih
259206,Cosy Flat at the Center of ISTANBUL,1323348,Feride,Sisli,41.0613,28.99495,Entire home/apt,302,Şişli
260378,Bright and characterful in Galata!,1366111,Julia & Tarkan,Beyoglu,41.02625,28.972759999999997,Entire home/apt,949,Beyoğlu
