,point_of_origin,nearest_point,distance_in_meter
38,POINT (28.98736 41.04995),POINT (28.98894300000007 41.05008799900003),175.96732899773613
39,POINT (28.97864 41.05356),POINT (28.97870225 41.05463435),104.93204829281356
40,POINT (28.98836 41.0497),POINT (28.98894300000007 41.05008799900003),74.86652038316912
41,POINT (28.99873 41.07533),POINT (28.9996767 41.07080525),453.20413881458427
42,POINT (29.00072 41.07186),POINT (28.9996767 41.07080525),154.7056362995054
43,POINT (28.99647 41.07395),POINT (28.9996767 41.07080525),469.27446114492415
44,POINT (28.98742 41.05378),POINT (28.9868253 41.0523695),152.44150577700114
45,POINT (28.98635 41.04929),POINT (28.98894300000007 41.05008799900003),297.731872024675
46,POINT (28.99457 41.0465),POINT (28.993006 41.05005999999999),387.8028360646357
47,POINT (28.98673 41.0604),POINT (28.9863997 41.05934910000001),108.75840914555239
48,POINT (28.98705 41.05646),POINT (28.9863997 41.05934910000001),290.62613727105327
49,POINT (28.99669 41.07543),POINT (28.9996767 41.07080525),559.1582389564626
50,POINT (29.00043 41.10163),POINT (29.01134024300007 41.08607120700003),1939.1669229271158
51,POINT (28.99034 41.05158),POINT (28.9910654 41.0517089),81.37544593346945
52,POINT (28.99042 41.05183),POINT (28.9910654 41.0517089),72.50017159194972
53,POINT (28.9784 41.04472),POINT (28.9821093 41.0412067),535.0299272705264
54,POINT (28.9859 41.04387),POINT (28.9821093 41.0412067),493.848932966299
55,POINT (28.98461 41.06243),POINT (28.98725545 41.06247485),293.24243386001467
56,POINT (28.98717000000001 41.06224),POINT (28.98725545 41.06247485),24.768581433426714
57,POINT (28.99327000000001 41.05826),POINT (28.99561331400002 41.05553430600003),371.4845905596129
58,POINT (28.98649 41.05136),POINT (28.9868253 41.0523695),105.16261304240821
59,POINT (28.98477 41.05187),POINT (28.9868253 41.0523695),232.94301639296162
60,POINT (28.98683 41.04879),POINT (28.98894300000007 41.05008799900003),266.17167985718527
61,POINT (28.99049 41.05003),POINT (28.98894300000007 41.05008799900003),171.55579212325648
62,POINT (28.99624 41.04892),POINT (28.993006 41.05005999999999),375.2615123061319
63,POINT (28.98705 41.04768),POINT (28.98894300000007 41.05008799900003),314.77964968682926
64,POINT (28.99865 41.07041),POINT (28.9996767 41.07080525),120.1356360218714
65,POINT (28.99767 41.07412),POINT (28.9996767 41.07080525),392.1611920901464
66,POINT (28.99919 41.04956),POINT (29.0004588 41.0487174),162.8407691490047
67,POINT (28.98374 41.04513),POINT (28.9821093 41.0412067),422.91174638795536
68,POINT (28.98395 41.04513),POINT (28.9821093 41.0412067),433.36979725191645
69,POINT (28.97405 41.06566),POINT (28.9736036 41.0620394),356.32785135344477
70,POINT (28.98714 41.05108),POINT (28.9868253 41.0523695),130.41416115403516
71,POINT (28.99805 41.05084),POINT (29.0001178 41.0527306),294.04619900746286
72,POINT (28.98379000000001 41.0418),POINT (28.9821093 41.0412067),195.048289964065
73,POINT (28.98689 41.04746),POINT (28.98894300000007 41.05008799900003),342.5838292501784
74,POINT (28.98411 41.04244),POINT (28.9821093 41.0412067),252.22665128596677
75,POINT (28.98629 41.05084),POINT (28.9868253 41.0523695),160.42632399746836
76,POINT (28.9845 41.04214),POINT (28.9821093 41.0412067),280.1501868598696
77,POINT (28.98422 41.04687),POINT (28.98894300000007 41.05008799900003),610.2225918368582
78,POINT (28.98582 41.04242),POINT (28.9821093 41.0412067),427.9368090421581
79,POINT (28.986 41.04563),POINT (28.98894300000007 41.05008799900003),543.2614458793204
80,POINT (28.98512 41.05768),POINT (28.9863997 41.05934910000001),215.8124177287407
81,POINT (28.98398 41.04483),POINT (28.9821093 41.0412067),409.4815116266451
82,POINT (28.98576 41.04333),POINT (28.9821093 41.0412067),454.46747521360066
83,POINT (28.98226 41.05259),POINT (28.97870225 41.05463435),441.8000507632253
84,POINT (28.99596 41.07569),POINT (28.9996767 41.07080525),629.4831822304318
85,POINT (28.98079 41.04703),POINT (28.9821093 41.0412067),586.0526181234454
86,POINT (28.98708 41.05774),POINT (28.9863997 41.05934910000001),173.99546646027517
87,POINT (28.98641 41.0497),POINT (28.98894300000007 41.05008799900003),283.28118883997274
88,POINT (28.98457 41.06243),POINT (28.98725545 41.06247485),297.6753691446921
89,POINT (28.98497 41.06297),POINT (28.98725545 41.06247485),257.8640542435125
90,POINT (29.01071 41.06475),POINT (29.0084154 41.0687452),464.9709041363514
91,POINT (28.98786 41.05128),POINT (28.9868253 41.0523695),156.28334282352603
92,POINT (28.98905 41.05125),POINT (28.98894300000007 41.05008799900003),113.855432151803
93,POINT (28.97671 41.06224),POINT (28.9736036 41.0620394),344.8535961127765
94,POINT (28.98637 41.04234),POINT (28.9821093 41.0412067),484.97996124302887
95,POINT (28.99668 41.05145),POINT (28.9946951 41.0530658),270.5346412615384
96,POINT (28.98331 41.04306),POINT (28.9821093 41.0412067),224.34703397931116
97,POINT (28.98329 41.05323),POINT (28.9868253 41.0523695),400.70972945708314
98,POINT (28.99582 41.05296),POINT (28.9946951 41.0530658),125.10457560033636
99,POINT (28.97796 41.05338),POINT (28.97870225 41.05463435),147.35169717879944
100,POINT (28.98462 41.05666),POINT (28.9863997 41.05934910000001),328.0004842667244
101,POINT (28.98645 41.06235),POINT (28.98725545 41.06247485),90.09777196916004
102,POINT (28.98592 41.0547),POINT (28.9868253 41.0523695),248.28909384391136
103,POINT (28.97986 41.05187),POINT (28.97870225 41.05463435),298.4076513626781
104,POINT (28.98268 41.04247),POINT (28.9821093 41.0412067),138.4140592720098
105,POINT (28.99372 41.05989),POINT (28.99561331400002 41.05553430600003),473.4780315338424
106,POINT (28.99178 41.05634000000001),POINT (28.99561331400002 41.05553430600003),432.060938483521
107,POINT (28.98645 41.04654),POINT (28.98894300000007 41.05008799900003),442.6000321425883
108,POINT (28.99343 41.0628),POINT (28.9967448 41.0652149),436.29710455034666
109,POINT (28.98709 41.04863),POINT (28.98894300000007 41.05008799900003),249.73506716056337
110,POINT (28.99415 41.07004000000001),POINT (28.9936129 41.0679197),215.01690934599526
111,POINT (28.98189 41.05511),POINT (28.97870225 41.05463435),356.34366340543295
112,POINT (28.98143 41.05139000000001),POINT (28.97870225 41.05463435),437.46792893430455
113,POINT (28.98426 41.04181),POINT (28.9821093 41.0412067),245.51759580477807
114,POINT (28.97914 41.04495),POINT (28.9821093 41.0412067),491.32102419123316
115,POINT (28.99697 41.0744),POINT (28.9996767 41.07080525),461.18482845871324
116,POINT (28.99605 41.06511),POINT (28.9967448 41.0652149),77.68407125798956
117,POINT (28.98648 41.04515),POINT (28.98894300000007 41.05008799900003),553.2500611906286
118,POINT (28.99567 41.05106),POINT (28.9946951 41.0530658),223.33181065930614
119,POINT (28.98465 41.04694),POINT (28.98894300000007 41.05008799900003),566.1392730660795
120,POINT (28.98263 41.04312),POINT (28.9821093 41.0412067),195.18853873052214
121,POINT (28.99101 41.0524),POINT (28.9910654 41.0517089),67.62518041104063
122,POINT (28.98545 41.05637),POINT (28.9863997 41.05934910000001),308.8126053496774
123,POINT (28.98336 41.05565),POINT (28.97870225 41.05463435),525.6473167283397
124,POINT (28.99629 41.05077),POINT (28.9946951 41.0530658),285.1217737507433
125,POINT (28.99985 41.0723),POINT (28.9996767 41.07080525),146.9082378455171
126,POINT (28.9827 41.05223),POINT (28.9868253 41.0523695),457.4318027472357
127,POINT (28.98567 41.0426),POINT (28.9821093 41.0412067),417.35728750436
128,POINT (28.99902 41.05753),POINT (28.9993687 41.0557129),181.22665148495864
129,POINT (28.98396 41.04674),POINT (28.9821093 41.0412067),576.9424337693928
130,POINT (28.98439 41.04556),POINT (28.9821093 41.0412067),493.84850667076375
131,POINT (28.98374 41.04659),POINT (28.9821093 41.0412067),554.8895280121201
132,POINT (28.98367 41.0448),POINT (28.9821093 41.0412067),390.5788661925148
133,POINT (28.98459 41.04693),POINT (28.98894300000007 41.05008799900003),572.263323101157
134,POINT (28.98404 41.04611),POINT (28.9821093 41.0412067),523.5765292559097
135,POINT (28.98442 41.06323),POINT (28.98725545 41.06247485),322.76987936888986
136,POINT (28.98442 41.04333),POINT (28.9821093 41.0412067),329.25550052696025
137,POINT (28.98581 41.04222),POINT (28.9821093 41.0412067),421.8887702559907
138,POINT (29.01107 41.0661),POINT (29.0084154 41.0687452),391.13758364345887
139,POINT (28.98371 41.04553),POINT (28.9821093 41.0412067),457.1566653481922
140,POINT (28.97329 41.06447),POINT (28.9736036 41.0620394),239.43182718020336
141,POINT (28.98563 41.05113),POINT (28.9868253 41.0523695),179.28190093178506
142,POINT (28.98638 41.04172),POINT (28.9821093 41.0412067),475.98105720711715
143,POINT (28.98347 41.04232),POINT (28.9821093 41.0412067),185.78575838873908
144,POINT (28.98499 41.0419),POINT (28.9821093 41.0412067),326.35439258239177
145,POINT (29.01475 41.07158),POINT (29.0167598 41.0740579),328.47936682567166
146,POINT (28.98152 41.05061),POINT (28.97870225 41.05463435),501.35697780172507
147,POINT (28.99364000000001 41.05325),POINT (28.9946951 41.0530658),118.31218882464859
148,POINT (28.99918 41.05007),POINT (29.0004588 41.0487174),193.54462933193818
149,POINT (28.98901 41.05481),POINT (28.9868253 41.0523695),339.40359063091597
150,POINT (28.98182000000001 41.04955),POINT (28.9868253 41.0523695),619.0823505547461
151,POINT (28.98632000000001 41.04223),POINT (28.9821093 41.0412067),477.23079192976877
152,POINT (28.99543 41.05987),POINT (28.99561331400002 41.05553430600003),422.9717680163022
153,POINT (28.98459 41.04278),POINT (28.9821093 41.0412067),314.81089252724865
154,POINT (28.98481 41.04246),POINT (28.9821093 41.0412067),323.29333224954945
155,POINT (28.99619 41.04917),POINT (28.993006 41.05005999999999),363.40090463335054
156,POINT (28.99461 41.0629),POINT (28.9967448 41.0652149),326.9058011482146
157,POINT (29.00031 41.0722),POINT (28.9996767 41.07080525),152.9593501719677
158,POINT (28.98569 41.05516),POINT (28.9868253 41.0523695),299.640672825957
159,POINT (28.98129 41.04871),POINT (28.97870225 41.05463435),644.6878545423818
160,POINT (28.98329 41.04234),POINT (28.9821093 41.0412067),171.2411716868218
161,POINT (28.98262 41.0525),POINT (28.9868253 41.0523695),466.27005208818315
162,POINT (28.99679 41.06883),POINT (28.997029 41.067248),156.4123854808017
163,POINT (28.98536 41.044),POINT (28.9821093 41.0412067),451.5684106233857
164,POINT (28.98514 41.05038),POINT (28.9868253 41.0523695),269.22241830265835
165,POINT (28.98302 41.04934),POINT (28.9868253 41.0523695),514.8267932201518
166,POINT (28.9847 41.04856),POINT (28.9868253 41.0523695),439.6706851777177
167,POINT (28.98326 41.04208),POINT (28.9821093 41.0412067),153.327555721525
