,point_of_origin,nearest_point,distance_in_meter
93,POINT (29.12938 40.97513),POINT (29.1315907 40.9814824),664.9817174763804
94,POINT (29.08647 40.99404000000001),POINT (29.0862389 40.992999),104.53620746230199
95,POINT (29.10456 40.99021),POINT (29.1087565 40.9856041),646.0244056752318
96,POINT (29.14935 40.97442),POINT (29.1315907 40.9814824),2084.921303931938
97,POINT (29.10195 40.9859),POINT (29.0982918 40.98748320000001),433.76731840489066
98,POINT (29.10466 40.99),POINT (29.1087565 40.9856041),623.8977829783768
99,POINT (29.0865 40.99372),POINT (29.0862389 40.992999),75.92650351421956
100,POINT (29.07776 40.99751),POINT (29.0862389 40.992999),1037.3412035451845
101,POINT (29.10559000000001 40.99229),POINT (29.1110669 40.99593970000001),703.3552559405668
102,POINT (29.14061 40.98839),POINT (29.1307821 40.9830495),1206.9234414187615
103,POINT (29.10222000000001 40.98261),POINT (29.0982918 40.98748320000001),643.8963704390497
104,POINT (29.10125 40.98131),POINT (29.0982918 40.98748320000001),684.5606347072236
105,POINT (29.10117 40.98318),POINT (29.0982918 40.98748320000001),526.5383736910161
106,POINT (29.07941 41.00019),POINT (29.07273431600004 41.00658345600004),966.9517463514347
107,POINT (29.14795 40.97575),POINT (29.1315907 40.9814824),1897.0931051283453
108,POINT (29.10862 40.97348),POINT (29.09758958000003 40.97528789900008),1235.1849167376324
109,POINT (29.13946 40.9872),POINT (29.1307821 40.9830495),1043.200776077072
110,POINT (29.08019 40.99100000000001),POINT (29.0862389 40.992999),698.1203857093761
111,POINT (29.15602 40.9809),POINT (29.1315907 40.9814824),2708.291157306065
112,POINT (29.11935 40.99199),POINT (29.1188532 40.99326729999999),135.964983898761
113,POINT (29.08127 40.99189000000001),POINT (29.0862389 40.992999),561.2229374448852
114,POINT (29.10315 40.98104),POINT (29.10863585 40.98505865),722.9983247985518
115,POINT (29.10352 40.97979),POINT (29.10863585 40.98505865),764.5471782305068
116,POINT (29.10215 40.98025),POINT (29.09758958000003 40.97528789900008),699.1559259527971
117,POINT (29.08537 40.99587),POINT (29.0862389 40.992999),295.64165501403755
118,POINT (29.11132000000001 40.96616),POINT (29.09758958000003 40.97528789900008),1762.235872854863
119,POINT (29.12211 40.97806),POINT (29.1211856 40.9878653),959.781410021858
120,POINT (29.10189 40.98117),POINT (29.0982918 40.98748320000001),732.6218699205687
121,POINT (29.10767 40.99645),POINT (29.1110669 40.99593970000001),379.7664343187408
122,POINT (29.15081 40.97575),POINT (29.1315907 40.9814824),2202.04932940581
123,POINT (29.1053 40.97794),POINT (29.10863585 40.98505865),785.3924376559838
124,POINT (29.10974 40.97413),POINT (29.109711 40.985018),1059.7973340551318
125,POINT (29.0824 40.99446),POINT (29.0862389 40.992999),448.6390933820732
126,POINT (29.1053 40.9778),POINT (29.10863585 40.98505865),797.4410965787989
127,POINT (29.11162 40.98932),POINT (29.1130349 40.9854081),411.78975016534145
128,POINT (29.15666 40.99211),POINT (29.1315907 40.9814824),2964.8234159306935
129,POINT (29.15108 40.99303),POINT (29.1307821 40.9830495),2450.444388546648
130,POINT (29.10627 40.97389),POINT (29.09758958000003 40.97528789900008),971.6908382843243
131,POINT (29.07209000000001 41.0038),POINT (29.07273431600004 41.00658345600004),280.27836369403724
132,POINT (29.11962 40.98436),POINT (29.1211856 40.9878653),382.7522252744786
133,POINT (29.1364 40.99404000000001),POINT (29.1307821 40.9830495),1237.5800828092747
134,POINT (29.11061 40.9701),POINT (29.09758958000003 40.97528789900008),1528.9553589857612
135,POINT (29.12685 40.99312000000001),POINT (29.1211856 40.9878653),809.7530288445059
136,POINT (29.11001 40.97701),POINT (29.109711 40.985018),780.1684640716543
137,POINT (29.08456 40.9929),POINT (29.0862389 40.992999),186.33398605347762
138,POINT (29.16702 40.9802),POINT (29.1315907 40.9814824),3928.902814083615
139,POINT (29.11359 40.98898),POINT (29.1130349 40.9854081),353.0639524733201
140,POINT (29.12599 40.98879),POINT (29.1211856 40.9878653),540.0601722661014
141,POINT (29.11819 40.96609),POINT (29.1130349 40.9854081),1965.136714974286
142,POINT (29.10144 41.00038),POINT (29.1029359 41.0010364),177.68765746692713
143,POINT (29.10818 40.98565),POINT (29.1087565 40.9856041),64.05385509723368
144,POINT (29.106 40.9753),POINT (29.09758958000003 40.97528789900008),932.1902171324687
145,POINT (29.10269000000001 40.97964),POINT (29.09758958000003 40.97528789900008),706.446716651206
146,POINT (29.08548 40.99238),POINT (29.0862389 40.992999),103.47494728631236
147,POINT (29.08564 40.99349),POINT (29.0862389 40.992999),81.80141278766328
148,POINT (29.08509 40.99399),POINT (29.0862389 40.992999),159.76391887736025
149,POINT (29.09896 41.00005),POINT (29.1029359 41.0010364),451.01824862722145
150,POINT (29.14332000000001 40.97332),POINT (29.1315907 40.9814824),1523.4890012326582
151,POINT (29.11054 40.99453),POINT (29.111199 40.995759),140.1610809579378
152,POINT (29.08547 40.99213),POINT (29.0862389 40.992999),120.08665895210233
153,POINT (29.14587 40.97353),POINT (29.1315907 40.9814824),1761.740543683712
154,POINT (29.08634 40.99233),POINT (29.0862389 40.992999),66.08931864382663
155,POINT (29.08406 41.00498),POINT (29.07273431600004 41.00658345600004),1264.9765508699545
156,POINT (29.10429 40.97349000000001),POINT (29.09758958000003 40.97528789900008),763.0007396598955
157,POINT (29.10777 40.99224),POINT (29.111199 40.995759),511.6355304776401
158,POINT (29.10548 40.99100000000001),POINT (29.1087565 40.9856041),638.5519859521876
159,POINT (29.13776 40.97464),POINT (29.1315907 40.9814824),954.4258635227778
160,POINT (29.08577 40.99494),POINT (29.0862389 40.992999),195.98856120130878
161,POINT (29.15736 40.98393),POINT (29.1315907 40.9814824),2866.133552178229
162,POINT (29.0863 40.99391),POINT (29.0862389 40.992999),88.95120657642417
163,POINT (29.08589000000001 40.995),POINT (29.0862389 40.992999),198.61460987214463
164,POINT (29.08576 40.99481),POINT (29.0862389 40.992999),184.13220700592808
165,POINT (29.08712 41.00383),POINT (29.0862389 40.992999),1058.991723325568
166,POINT (29.08294 40.99358),POINT (29.0862389 40.992999),369.99030552363257
167,POINT (29.145 40.98795),POINT (29.1315907 40.9814824),1614.0194329543594
168,POINT (29.13909 40.97913),POINT (29.1315907 40.9814824),862.1533160585067
169,POINT (29.10391 40.97658),POINT (29.09758958000003 40.97528789900008),711.7410317082195
170,POINT (29.09576 40.98871),POINT (29.0982918 40.98748320000001),304.9739608767504
171,POINT (29.14053 40.97475),POINT (29.1315907 40.9814824),1187.8203061790543
172,POINT (29.14926 40.97604000000001),POINT (29.1315907 40.9814824),2028.771006653873
173,POINT (29.14965 40.97626),POINT (29.1315907 40.9814824),2065.157965561013
174,POINT (29.08491 40.99293),POINT (29.0862389 40.992999),147.44463895041227
175,POINT (29.14924 40.97664),POINT (29.1315907 40.9814824),2012.1640521173676
