,point_of_origin,nearest_point,distance_in_meter
78,POINT (28.98182000000001 41.03023),POINT (28.9796001 41.03029625),246.128307022455
79,POINT (28.97759000000001 41.02941),POINT (28.9796001 41.03029625),238.94727116276044
80,POINT (28.99193 41.03506),POINT (28.99013805 41.03554045),204.05552683142076
81,POINT (29.08596 41.0787),POINT (29.1013868 41.0943323),2289.0109661174984
82,POINT (29.06553 40.97543),POINT (29.0609895 40.9713669),640.167260917341
83,POINT (28.92851 41.019),POINT (28.93311846700005 41.01505125600005),639.6343798303662
84,POINT (28.98331 41.02918),POINT (28.9796001 41.03029625),425.33546868424804
85,POINT (28.9766 41.02874),POINT (28.9780884 41.0317305),334.9029855706788
86,POINT (28.97892 41.02845),POINT (28.9796001 41.03029625),195.08387426153521
87,POINT (28.97341 41.03533),POINT (28.9780884 41.0317305),626.0555092198671
88,POINT (29.03173 41.03382),POINT (29.03867389500005 41.02383388600003),1240.3615621339047
89,POINT (28.99103 41.05585),POINT (28.9910654 41.0517089),403.5580997011468
90,POINT (28.73866 41.10619000000001),POINT (28.6790924 41.0620668),7884.980711654747
91,POINT (28.97919000000001 41.02865),POINT (28.9796001 41.03029625),166.75496415005188
92,POINT (28.97787000000001 41.0029),POINT (28.95731345 41.01471045),2552.689009039516
93,POINT (28.98118 41.03077),POINT (28.9796001 41.03029625),181.09344754080874
94,POINT (28.98167 41.03073),POINT (28.9796001 41.03029625),233.2802455526492
95,POINT (29.02667000000001 40.98598),POINT (29.0381205 40.9852841),1270.9400578742566
96,POINT (29.02542 40.98627000000001),POINT (29.0381205 40.9852841),1410.9483954746895
97,POINT (28.97874 41.0068),POINT (28.95731345 41.01471045),2496.844126250566
98,POINT (29.02177 40.98441),POINT (29.0381205 40.9852841),1814.2274409532927
99,POINT (28.94331 41.01309000000001),POINT (28.9458539 41.0123804),290.31564078962947
100,POINT (28.98221 41.03433),POINT (28.9796001 41.03029625),488.0751183212679
101,POINT (28.90203 41.08744),POINT (28.8603265 41.1061175),4968.299337922255
102,POINT (28.98564 41.03203),POINT (28.99013805 41.03554045),604.6275951209299
103,POINT (28.98488 41.03297),POINT (28.99013805 41.03554045),634.3323040428082
104,POINT (28.9811 41.03324),POINT (28.9796001 41.03029625),331.5754977268642
105,POINT (28.9748 41.02437000000001),POINT (28.9796001 41.03029625),785.2630250311444
106,POINT (28.94568 41.01106),POINT (28.9458539 41.0123804),130.16040773128918
107,POINT (28.94706 41.01232),POINT (28.9458539 41.0123804),133.80757488044333
108,POINT (28.99495 41.0613),POINT (28.9967448 41.0652149),430.230645041217
109,POINT (28.97276 41.02625),POINT (28.9780884 41.0317305),796.2943788932207
110,POINT (28.9863 41.045),POINT (28.9821093 41.0412067),593.6302908387617
111,POINT (28.98672 41.05458),POINT (28.9868253 41.0523695),215.7320505667925
112,POINT (28.94512000000001 41.01077),POINT (28.9458539 41.0123804),176.81857098900278
113,POINT (28.94738 41.0248),POINT (28.9458539 41.0123804),1222.5312240947865
114,POINT (28.97594 41.02669),POINT (28.9796001 41.03029625),536.7440201922386
115,POINT (29.02534 40.99259),POINT (29.0381205 40.9852841),1585.262292676502
116,POINT (29.02552 40.99462),POINT (29.0381205 40.9852841),1666.577794577126
117,POINT (29.02656 40.99295),POINT (29.0381205 40.9852841),1483.032662885064
118,POINT (29.0431 40.97555),POINT (29.0400193 40.9830405),805.524023582475
119,POINT (28.98927 41.03392),POINT (28.99013805 41.03554045),184.91148887999424
120,POINT (28.98052 41.03207),POINT (28.9796001 41.03029625),200.69327289031892
121,POINT (28.97364 41.02575),POINT (28.9780884 41.0317305),763.4293802795704
122,POINT (28.97418 41.02373),POINT (28.9796001 41.03029625),877.7378946266504
123,POINT (28.97401 41.02591),POINT (28.9796001 41.03029625),752.7452486193107
124,POINT (28.97303 41.02532),POINT (28.9780884 41.0317305),839.4502769183607
125,POINT (28.97202 41.02841),POINT (28.9780884 41.0317305),746.4006228756083
126,POINT (28.85343 41.00837),POINT (28.86846160000005 41.00936748700008),1668.844733073642
127,POINT (28.99426 41.06208),POINT (28.9967448 41.0652149),411.2934409034591
128,POINT (28.99549 41.06202),POINT (28.9967448 41.0652149),340.9720745510813
129,POINT (28.84474 40.99144),POINT (28.8337968 40.99189570000001),1213.6839979314057
130,POINT (28.99253 41.05783),POINT (28.99561331400002 41.05553430600003),408.44817465086186
131,POINT (29.1295 40.871),POINT (29.12400894000007 40.93558331700007),6314.633390333039
132,POINT (28.9724 41.03435),POINT (28.9780884 41.0317305),680.2050451435884
133,POINT (29.02262 41.05091),POINT (29.016612 41.066644),1671.2111118874795
134,POINT (28.99017000000001 41.03655),POINT (28.99013805 41.03554045),98.44248350267051
135,POINT (28.99014 41.03789),POINT (28.99013805 41.03554045),228.9594140832117
136,POINT (28.97472 41.03234000000001),POINT (28.9780884 41.0317305),378.03416275479566
137,POINT (28.97666 41.0364),POINT (28.9780884 41.0317305),481.8415658536611
138,POINT (29.03729 41.08725),POINT (29.03654855 41.07449),1245.5923158743456
139,POINT (28.98457 41.03042),POINT (28.9796001 41.03029625),550.9732047115363
140,POINT (29.02221 40.98447),POINT (29.0381205 40.9852841),1765.2425397744487
141,POINT (28.97953 41.00315),POINT (28.95731345 41.01471045),2707.9386853349233
142,POINT (28.99128 41.03527),POINT (28.99013805 41.03554045),129.28346057303943
143,POINT (28.98525 41.03323),POINT (28.99013805 41.03554045),586.6932567246508
144,POINT (29.01917000000001 41.02971),POINT (29.0346424 41.0199689),1959.931484022346
145,POINT (28.98675 41.04099),POINT (28.9821093 41.0412067),514.7876895344654
146,POINT (28.94659 41.01237),POINT (28.9458539 41.0123804),81.59185329500178
147,POINT (28.98168 41.03383),POINT (28.9796001 41.03029625),414.4227739528411
148,POINT (28.97318 41.03137),POINT (28.9780884 41.0317305),545.1576820556766
149,POINT (29.01983 41.0309),POINT (29.0346424 41.0199689),1956.8387722423277
150,POINT (29.00994 41.07587),POINT (29.0167598 41.0740579),776.2229416875873
151,POINT (28.98258 41.03788),POINT (28.9821093 41.0412067),328.3758091509899
152,POINT (28.9826 41.0339),POINT (28.9796001 41.03029625),483.63322528542125
153,POINT (28.98201 41.03893),POINT (28.9821093 41.0412067),222.15025831520342
154,POINT (28.98349 41.03831),POINT (28.9821093 41.0412067),321.1082519639417
155,POINT (29.03697 40.99407),POINT (29.0381205 40.9852841),865.2272954491475
156,POINT (29.02777 41.0839),POINT (29.02571553100006 41.07891799500004),536.081504285787
157,POINT (28.97705 41.02752),POINT (28.9796001 41.03029625),391.27344736114196
158,POINT (29.02191 41.051),POINT (29.016612 41.066644),1633.2631024021011
159,POINT (29.02335 41.0522),POINT (29.016612 41.066644),1593.0362945615336
160,POINT (28.97238 41.03499),POINT (28.9780884 41.0317305),707.9682492651793
161,POINT (29.13289 40.87361),POINT (29.12400894000007 40.93558331700007),6110.933443783792
162,POINT (28.99978 41.0555),POINT (28.9995352 41.0557256),34.91989011726319
163,POINT (29.05244 41.08679),POINT (29.03654855 41.07449),2130.1481630167495
164,POINT (28.9761 41.03699),POINT (28.9780884 41.0317305),557.9615099872252
165,POINT (29.0278 40.99609),POINT (29.0381205 40.9852841),1554.478048792629
166,POINT (28.97705 41.02728),POINT (28.9796001 41.03029625),407.79829457916117
167,POINT (28.99618 41.0493),POINT (28.993006 41.05005999999999),359.50301593565547
168,POINT (28.97733 41.02557),POINT (28.9796001 41.03029625),524.8556661820322
169,POINT (28.98148 41.03003),POINT (28.9796001 41.03029625),209.96904355724095
170,POINT (28.97351 41.0295),POINT (28.9780884 41.0317305),552.0522627859956
171,POINT (28.97177000000001 41.03519),POINT (28.9780884 41.0317305),777.243483285098
172,POINT (28.98032000000001 41.03255),POINT (28.9796001 41.03029625),233.68903082207163
173,POINT (28.98093 41.03666),POINT (28.9821093 41.0412067),461.9805581239157
174,POINT (28.99202 41.05485),POINT (28.9946951 41.0530658),343.7121061839525
175,POINT (28.97505 41.03749000000001),POINT (28.9780884 41.0317305),654.5957231126787
176,POINT (28.97935 41.02871),POINT (28.9796001 41.03029625),157.0585505360351
177,POINT (28.99147 41.06024),POINT (28.9892825 41.0616722),279.7530556278235
178,POINT (28.97592 41.03621),POINT (28.9780884 41.0317305),498.3554214245688
179,POINT (28.98853 41.05509),POINT (28.9868253 41.0523695),325.5522530795702
180,POINT (28.99108 41.05274),POINT (28.9910654 41.0517089),100.49091953812005
181,POINT (28.94498 41.01263),POINT (28.9458539 41.0123804),99.86844433955646
182,POINT (28.98298 41.03044000000001),POINT (28.9796001 41.03029625),374.8746197218387
183,POINT (28.96857 41.00456),POINT (28.95731345 41.01471045),1592.31726386566
184,POINT (29.0418 41.06678),POINT (29.03654855 41.07449),950.1269094839306
185,POINT (28.97603 41.03122000000001),POINT (28.9780884 41.0317305),233.5056711016531
186,POINT (28.67921 41.0718),POINT (28.6790924 41.0620668),951.3955498891519
187,POINT (28.98344 41.04418),POINT (28.9821093 41.0412067),325.1393657235215
188,POINT (29.06551 40.88085),POINT (29.08519469200007 40.95789641000005),7812.6961400363525
189,POINT (28.98063 41.03478),POINT (28.9780884 41.0317305),409.4895932359285
190,POINT (28.98424 41.04603),POINT (28.9821093 41.0412067),526.0420108487187
191,POINT (28.99464 41.05794),POINT (28.99561331400002 41.05553430600003),258.050389306252
192,POINT (28.98164 41.03466),POINT (28.9780884 41.0317305),486.2783498274272
193,POINT (28.84544 41.03183),POINT (28.839429 41.021644),1196.6247610764694
194,POINT (28.9303 41.01667),POINT (28.93311846700005 41.01505125600005),349.99232455623854
195,POINT (28.9704 41.0056),POINT (28.95731345 41.01471045),1700.7017105431999
196,POINT (28.984 41.06262),POINT (28.98725545 41.06247485),361.0966791494204
197,POINT (28.9761 41.02618),POINT (28.9796001 41.03029625),558.0587971069185
198,POINT (28.97311 41.02496),POINT (28.9796001 41.03029625),887.6481375925873
199,POINT (29.04714 40.98268),POINT (29.04693296500005 40.98701972100001),423.2885498362966
200,POINT (28.97333 41.02815),POINT (28.9780884 41.0317305),632.3953364179845
201,POINT (28.97792 41.03567),POINT (28.9780884 41.0317305),384.39522495458573
202,POINT (28.97486 41.02747),POINT (28.9780884 41.0317305),548.136654898156
203,POINT (28.97644 41.03741),POINT (28.9780884 41.0317305),582.8979108862859
204,POINT (28.97471 41.03703),POINT (28.9780884 41.0317305),637.9473374484211
205,POINT (28.98196 41.03102),POINT (28.9796001 41.03029625),270.9041196928357
206,POINT (29.07824 40.98132),POINT (29.0842411 40.9815672),665.5798628048008
207,POINT (29.04331 41.00931),POINT (29.0428689 41.0072355),207.8838487959093
208,POINT (28.98372 41.03068),POINT (28.9796001 41.03029625),458.15996918117725
209,POINT (28.97992 41.02999000000001),POINT (28.9796001 41.03029625),46.3460694759849
210,POINT (29.03549000000001 41.07538),POINT (29.03654855 41.07449),145.87871948673288
211,POINT (28.97058 41.00503),POINT (28.95731345 41.01471045),1747.1175078189165
212,POINT (28.99077 41.06798),POINT (28.9899423 41.06849260000001),104.45650128810564
213,POINT (29.00437 41.0638),POINT (29.0009636 41.065532),413.55135268054875
214,POINT (28.99989 41.04457),POINT (29.0004588 41.0487174),409.0053561758095
215,POINT (28.98485 41.03289),POINT (28.9796001 41.03029625),634.4084487107613
216,POINT (28.97695 41.03863),POINT (28.9821093 41.0412067),624.5435352918496
217,POINT (28.5457 41.00975),POINT (28.6281981 41.0161145),9164.353590737155
218,POINT (28.98788 41.04251),POINT (28.9821093 41.0412067),652.0873584982561
219,POINT (28.99886 41.05352),POINT (28.999343 41.054067),75.54266926004915
220,POINT (28.98674 41.05452),POINT (28.9868253 41.0523695),209.78217016385733
221,POINT (29.0326 41.00767000000001),POINT (29.0428689 41.0072355),1138.9543582550452
222,POINT (28.98081 41.00507),POINT (28.9796001 41.03029625),2462.1409849353936
223,POINT (28.97637000000001 41.03541),POINT (28.9780884 41.0317305),406.044810043924
224,POINT (28.97999 41.0343),POINT (28.9780884 41.0317305),327.30993096612895
225,POINT (29.04211 41.16389),POINT (29.05480284200007 41.16968134000007),1515.6889028514606
226,POINT (28.98769 41.03533),POINT (28.99013805 41.03554045),272.1049851667004
227,POINT (29.04047000000001 41.08333),POINT (29.03654855 41.07449),964.5217152980163
228,POINT (28.9804 41.05298),POINT (28.97870225 41.05463435),247.79690809068424
