,point_of_origin,nearest_point,distance_in_meter
75,POINT (29.07514 41.01998),POINT (29.07273431600004 41.00658345600004),1331.3878786768678
76,POINT (29.01551 41.02),POINT (29.01217945 41.0053215),1476.9420291385468
77,POINT (29.01616 41.01317),POINT (29.01217945 41.0053215),882.7961009080167
78,POINT (29.02878 41.03537),POINT (29.03867389500005 41.02383388600003),1570.1090737080924
79,POINT (29.0399 41.0127),POINT (29.0428689 41.0072355),625.7509845311603
80,POINT (29.02087 41.02492),POINT (29.0346424 41.0199689),1600.861553105099
81,POINT (29.01704 41.01112),POINT (29.01217945 41.0053215),780.6139541751267
82,POINT (29.03161 41.00844),POINT (29.0428689 41.0072355),1253.398742854242
83,POINT (29.02014 41.02352),POINT (29.0346424 41.0199689),1644.1927348213749
84,POINT (29.06592 41.00129),POINT (29.06091275 41.0049251),658.2672470560054
85,POINT (29.0375 41.0256),POINT (29.03867389500005 41.02383388600003),215.68801804501146
86,POINT (29.03787 41.02636),POINT (29.03867389500005 41.02383388600003),261.68699601741645
87,POINT (29.02957 41.036),POINT (29.03867389500005 41.02383388600003),1556.4515508275606
88,POINT (29.03541 41.01764),POINT (29.0346424 41.0199689),242.27814329854886
89,POINT (29.02012 41.02645),POINT (29.0346424 41.0199689),1728.9979059304833
90,POINT (29.01957 41.02448),POINT (29.0346424 41.0199689),1727.3985415994093
91,POINT (29.01069 41.01896),POINT (29.01217945 41.0053215),1338.9899078991623
92,POINT (29.03066 41.02853),POINT (29.03867389500005 41.02383388600003),999.0983084268535
93,POINT (29.06942 41.0173),POINT (29.07273431600004 41.00658345600004),1106.26536556438
94,POINT (29.01289 41.00969),POINT (29.01217945 41.0053215),432.8355047312091
95,POINT (29.01409 41.02505),POINT (29.01217945 41.0053215),1933.7100311715049
96,POINT (29.06017 41.03156),POINT (29.06083285 41.0306245),117.03399104059386
97,POINT (29.03071 41.03558),POINT (29.03867389500005 41.02383388600003),1445.0640783285485
98,POINT (29.02838 41.02602),POINT (29.0346424 41.0199689),910.608833997638
99,POINT (29.08234 41.02542),POINT (29.09504196300003 41.02544708100004),1407.8528553021815
100,POINT (29.04794 41.03363),POINT (29.04336283900005 41.02342207100003),1116.1665750930883
101,POINT (29.0298 41.03382),POINT (29.03867389500005 41.02383388600003),1383.3095904102142
102,POINT (29.01679 41.02),POINT (29.01217945 41.0053215),1518.6180942881786
103,POINT (29.0382 41.01777),POINT (29.0346424 41.0199689),448.7270817186566
104,POINT (29.03123 41.03488),POINT (29.03867389500005 41.02383388600003),1355.8768465969827
105,POINT (29.02769 41.01798),POINT (29.0346424 41.0199689),794.5597044646837
106,POINT (29.02143 41.02069),POINT (29.0346424 41.0199689),1466.096322543671
107,POINT (29.01431 41.01484),POINT (29.01217945 41.0053215),956.947375129066
108,POINT (29.01905 41.02532),POINT (29.0346424 41.0199689),1805.1057641033144
109,POINT (29.08367 41.01542),POINT (29.07273431600004 41.00658345600004),1486.3981669640887
110,POINT (29.0086 41.02135),POINT (29.01217945 41.0053215),1611.2498050834836
111,POINT (29.01248 41.02041),POINT (29.01217945 41.0053215),1470.4098416242218
112,POINT (29.03385 41.03006),POINT (29.03867389500005 41.02383388600003),808.4867487520129
113,POINT (29.06172 41.01362),POINT (29.05810805 41.0170686),522.5456389278867
114,POINT (29.02156 41.02572),POINT (29.0346424 41.0199689),1554.4671336049955
115,POINT (29.02554 41.02411),POINT (29.0346424 41.0199689),1086.5321437960954
116,POINT (29.02062 41.02255),POINT (29.0346424 41.0199689),1574.3965115288786
117,POINT (29.027 41.02212),POINT (29.0346424 41.0199689),872.587438652542
118,POINT (29.02092 41.02252),POINT (29.0346424 41.0199689),1541.107581270882
119,POINT (29.01602 41.01932),POINT (29.01217945 41.0053215),1428.6997492144912
120,POINT (29.0249 41.01824000000001),POINT (29.0346424 41.0199689),1092.8656449603232
121,POINT (29.04309000000001 41.01561),POINT (29.04619549200004 41.02129809600007),652.2230123409569
122,POINT (29.07569 41.02762),POINT (29.06083285 41.0306245),1672.5073197612141
123,POINT (29.01084 41.02523),POINT (29.01217945 41.0053215),1945.320748845005
124,POINT (29.00914 41.02065),POINT (29.01217945 41.0053215),1530.9632563702537
125,POINT (29.02081 41.02673),POINT (29.0346424 41.0199689),1668.6127849810514
126,POINT (29.07517 41.02902),POINT (29.06083285 41.0306245),1596.747255264092
127,POINT (29.07807 41.01653),POINT (29.07273431600004 41.00658345600004),1134.7641725953815
128,POINT (29.02197 41.01551),POINT (29.0346424 41.0199689),1470.188211083737
129,POINT (29.06361 41.00687),POINT (29.0620405 41.0071774),176.5151294335614
130,POINT (29.05696 41.00462),POINT (29.06091275 41.0049251),439.1162538493861
131,POINT (29.01306 41.01179000000001),POINT (29.01217945 41.0053215),637.7193503233193
132,POINT (29.025 41.01707),POINT (29.0346424 41.0199689),1105.4046971459998
133,POINT (29.01554 41.01069),POINT (29.01217945 41.0053215),642.1021982956069
134,POINT (29.01386 41.01205),POINT (29.01217945 41.0053215),681.4848626661986
135,POINT (29.05446 41.00702),POINT (29.0550429 41.0006797),620.8368280716745
136,POINT (29.01614 41.01583),POINT (29.01217945 41.0053215),1113.9374619137934
137,POINT (29.01322 41.0248),POINT (29.01217945 41.0053215),1901.2329720910252
138,POINT (29.02494 41.02253),POINT (29.0346424 41.0199689),1103.9370694816546
139,POINT (29.07148 40.99881),POINT (29.07273431600004 41.00658345600004),769.5724585404413
140,POINT (29.01681 41.00938),POINT (29.01217945 41.0053215),647.8799188306975
141,POINT (29.01778 41.02973),POINT (29.0346424 41.0199689),2096.946099399249
142,POINT (29.01351 41.01472),POINT (29.01217945 41.0053215),927.4659415895273
143,POINT (29.01407 41.0141),POINT (29.01217945 41.0053215),880.554383312491
144,POINT (29.02633 41.02193),POINT (29.0346424 41.0199689),940.9118062311508
145,POINT (29.01574 41.0249),POINT (29.0346424 41.0199689),2149.434237002657
146,POINT (29.03239 41.01484),POINT (29.0346424 41.0199689),558.4955378510281
147,POINT (29.06392 41.00582),POINT (29.0620405 41.0071774),246.71587855954655
148,POINT (29.01146 41.01595),POINT (29.01217945 41.0053215),1038.5773359934306
149,POINT (29.03051 41.03557),POINT (29.03867389500005 41.02383388600003),1457.9470784954356
150,POINT (29.07588 41.02237),POINT (29.07273431600004 41.00658345600004),1576.1684899172988
151,POINT (29.04525 41.04304000000001),POINT (29.04336283900005 41.02342207100003),1922.1483687013379
152,POINT (29.01902 41.01795),POINT (29.01217945 41.0053215),1445.174472924003
153,POINT (29.07199 41.04542),POINT (29.06083285 41.0306245),1898.6718103400715
154,POINT (29.02135 41.0227),POINT (29.0346424 41.0199689),1497.1077435257164
155,POINT (29.03193 41.01887),POINT (29.0346424 41.0199689),319.1201801618901
156,POINT (29.02716 41.02556),POINT (29.0346424 41.0199689),992.1663992943669
157,POINT (29.05136 41.01159000000001),POINT (29.05810805 41.0170686),918.7350563465282
158,POINT (29.03022 41.03563),POINT (29.03867389500005 41.02383388600003),1482.636731258544
159,POINT (29.02566 41.02414),POINT (29.0346424 41.0199689),1075.2944756982176
160,POINT (29.01084 41.02349),POINT (29.01217945 41.0053215),1776.3373379202449
161,POINT (29.07814 41.01314),POINT (29.07273431600004 41.00658345600004),875.5185014311583
162,POINT (29.01855 41.02342),POINT (29.0346424 41.0199689),1815.0269203238336
163,POINT (29.01171 41.0223),POINT (29.01217945 41.0053215),1654.9943959954278
164,POINT (29.03842 41.02381),POINT (29.03867389500005 41.02383388600003),28.23681931215575
165,POINT (29.07287 41.0403),POINT (29.06083285 41.0306245),1633.2953987072067
166,POINT (29.01622 41.02569),POINT (29.0346424 41.0199689),2116.561837823266
167,POINT (29.0754 41.00899),POINT (29.07273431600004 41.00658345600004),377.09687341840987
168,POINT (29.06886 40.99809000000001),POINT (29.06724095 40.98946395),858.9169147903663
169,POINT (29.01481 41.02041),POINT (29.01217945 41.0053215),1498.6507082111611
170,POINT (29.01023 41.0229),POINT (29.01217945 41.0053215),1726.2210444172133
171,POINT (29.0196 41.02587),POINT (29.0346424 41.0199689),1763.560774203715
172,POINT (29.01895 41.02723),POINT (29.0346424 41.0199689),1877.6137505740978
173,POINT (29.03038 41.01566),POINT (29.0346424 41.0199689),631.9464220221715
174,POINT (29.04889 41.00371),POINT (29.0550429 41.0006797),743.0848603068364
175,POINT (29.03107 41.02165),POINT (29.0346424 41.0199689),428.47711850711596
176,POINT (29.01906 41.01765),POINT (29.01217945 41.0053215),1422.7463996953084
177,POINT (29.01142 41.02353),POINT (29.01217945 41.0053215),1776.0106728094106
178,POINT (29.04805 41.04329),POINT (29.06083285 41.0306245),1878.5054482456455
179,POINT (29.03563 41.03086),POINT (29.03867389500005 41.02383388600003),763.0113681280325
180,POINT (29.0185 41.02606),POINT (29.0346424 41.0199689),1884.986969504988
181,POINT (29.03655 41.02766),POINT (29.03867389500005 41.02383388600003),440.79908349896573
182,POINT (29.01895 41.01005),POINT (29.01217945 41.0053215),880.5390592822758
183,POINT (29.0365 41.04059),POINT (29.03867389500005 41.02383388600003),1649.7959645982062
184,POINT (29.0195 41.02593),POINT (29.0346424 41.0199689),1775.9453265342065
185,POINT (29.01988 41.02842),POINT (29.0346424 41.0199689),1831.6436846950462
186,POINT (29.02423 41.01627),POINT (29.0346424 41.0199689),1209.0109011126417
187,POINT (29.08174 41.05077),POINT (29.09504196300003 41.02544708100004),2872.5588996287665
