point_of_origin,nearest_point,distance_in_meter
POINT (29.02407 40.98529),POINT (29.0381205 40.9852841),1557.3052278936316
POINT (29.05003 40.9847),POINT (29.04693296500005 40.98701972100001),410.94161728552723
POINT (29.02159 40.98508),POINT (29.0381205 40.9852841),1832.2866199520315
POINT (29.0302 40.99553),POINT (29.0381205 40.9852841),1329.1792464151213
POINT (29.06681 40.9688),POINT (29.0609895 40.9713669),691.8584799767697
POINT (29.02646 40.98624),POINT (29.0381205 40.9852841),1295.7565178847117
POINT (29.08179 40.95928),POINT (29.081701 40.959921),63.18392631216239
POINT (29.02263 40.98582),POINT (29.0381205 40.9852841),1717.7025931146704
POINT (29.02452000000001 40.99513),POINT (29.01217945 41.0053215),1690.1520403862544
POINT (29.02534 40.99559),POINT (29.01217945 41.0053215),1739.6864515086538
POINT (29.07785 40.98068),POINT (29.0842411 40.9815672),713.6182725624222
POINT (29.05389000000001 40.9851),POINT (29.04693296500005 40.98701972100001),793.4367517836362
POINT (29.03252 40.98779),POINT (29.0381205 40.9852841),667.0055128391419
POINT (29.02983 40.99619000000001),POINT (29.0381205 40.9852841),1404.5858748968494
POINT (29.06767 40.96881),POINT (29.0609895 40.9713669),781.1875646204857
POINT (29.03377 40.99593),POINT (29.0381205 40.9852841),1143.5946328348573
POINT (29.02611 40.9834),POINT (29.0381205 40.9852841),1343.7909441553427
POINT (29.10947 40.95825),POINT (29.09758958000003 40.97528789900008),2117.678982490576
POINT (29.06472 40.97166),POINT (29.0609895 40.9713669),414.4606408795851
POINT (29.0252 40.99567),POINT (29.01217945 41.0053215),1722.4301362661156
POINT (29.02239 40.98058),POINT (29.0381205 40.9852841),1802.7202374333926
POINT (29.02345 40.98818),POINT (29.0381205 40.9852841),1650.3112247669246
POINT (29.02301 40.98588),POINT (29.0381205 40.9852841),1675.7970662221499
POINT (29.02679 40.98821),POINT (29.0381205 40.9852841),1287.7654928893992
POINT (29.03084 40.99461),POINT (29.0381205 40.9852841),1215.053877380223
POINT (29.02709 40.98867),POINT (29.0381205 40.9852841),1266.2856186739964
POINT (29.03337 40.98687),POINT (29.0381205 40.9852841),548.7207130474651
