,centroid,origin_geometry,distance_origin_to_centroid,geometry
56,POINT (28.9796001 41.03029625),POINT (28.97488 41.02622),656.8984206860041,POINT (28.97488 41.02622)
57,POINT (29.05480284200007 41.16968134000007),POINT (29.03753 41.16308),2019.5389558201855,POINT (29.03753 41.16308)
58,POINT (28.9821093 41.0412067),POINT (28.98163 41.03614),496.6292707065633,POINT (28.98163 41.03614)
59,POINT (28.9821093 41.0412067),POINT (28.98199 41.03886),229.0813078352667,POINT (28.98199 41.03886)
60,POINT (29.19725165 40.95915605),POINT (29.16943 40.9476),3282.183731939641,POINT (29.16943 40.9476)
61,POINT (29.07273431600004 41.00658345600004),POINT (29.06929 41.01694000000001),1078.2808774692753,POINT (29.06929 41.01694000000001)
62,POINT (28.9796001 41.03029625),POINT (28.97696 41.0278),380.54030497394234,POINT (28.97696 41.0278)
63,POINT (29.01217945 41.0053215),POINT (29.01548 41.01602000000001),1104.6434121322698,POINT (29.01548 41.01602000000001)
64,POINT (29.01217945 41.0053215),POINT (29.01548 41.01602000000001),1104.6434121322698,POINT (29.01548 41.01602000000001)
65,POINT (29.01217945 41.0053215),POINT (29.01548 41.01602000000001),1104.6434121322698,POINT (29.01548 41.01602000000001)
66,POINT (28.9839321 41.0685933),POINT (28.98561 41.07005),233.96118599815134,POINT (28.98561 41.07005)
67,POINT (28.99013805 41.03554045),POINT (28.9869 41.03237),473.5596120476125,POINT (28.9869 41.03237)
68,POINT (28.9796001 41.03029625),POINT (28.98594000000001 41.02894000000001),715.0085566649819,POINT (28.98594000000001 41.02894000000001)
69,POINT (28.95731345 41.01471045),POINT (28.97725 41.00341),2468.9760270271067,POINT (28.97725 41.00341)
70,POINT (28.9796001 41.03029625),POINT (28.98414 41.03135),513.5544230876861,POINT (28.98414 41.03135)
71,POINT (28.9796001 41.03029625),POINT (28.9779 41.02842),262.57014377459626,POINT (28.9779 41.02842)
72,POINT (28.9780884 41.0317305),POINT (28.97612 41.02997),277.5550194435004,POINT (28.97612 41.02997)
73,POINT (28.9780884 41.0317305),POINT (28.97604 41.02976),297.3660206910916,POINT (28.97604 41.02976)
74,POINT (28.9796001 41.03029625),POINT (28.97653 41.02855),380.46256139843183,POINT (28.97653 41.02855)
75,POINT (28.9780884 41.0317305),POINT (28.97625 41.02885),346.885956027756,POINT (28.97625 41.02885)
76,POINT (28.9780884 41.0317305),POINT (28.97623 41.02931),313.17151848064,POINT (28.97623 41.02931)
77,POINT (29.01217945 41.0053215),POINT (29.01527 41.0164),1132.3864507703254,POINT (29.01527 41.0164)
78,POINT (29.01217945 41.0053215),POINT (29.01527 41.0164),1132.3864507703254,POINT (29.01527 41.0164)
79,POINT (29.01217945 41.0053215),POINT (29.01527 41.0164),1132.3864507703254,POINT (29.01527 41.0164)
80,POINT (28.656984 41.013361),POINT (28.68328 41.02719),3212.614701622847,POINT (28.68328 41.02719)
81,POINT (28.9780884 41.0317305),POINT (28.97583 41.0297),319.0881933593418,POINT (28.97583 41.0297)
82,POINT (28.9796001 41.03029625),POINT (28.98182000000001 41.03023),246.128307022455,POINT (28.98182000000001 41.03023)
83,POINT (28.9796001 41.03029625),POINT (28.97759000000001 41.02941),238.94727116276044,POINT (28.97759000000001 41.02941)
84,POINT (28.99013805 41.03554045),POINT (28.99193 41.03506),204.05552683142076,POINT (28.99193 41.03506)
85,POINT (29.1013868 41.0943323),POINT (29.08596 41.0787),2289.0109661174984,POINT (29.08596 41.0787)
86,POINT (29.0609895 40.9713669),POINT (29.06553 40.97543),640.167260917341,POINT (29.06553 40.97543)
87,POINT (28.93311846700005 41.01505125600005),POINT (28.92851 41.019),639.6343798303662,POINT (28.92851 41.019)
88,POINT (28.9796001 41.03029625),POINT (28.98331 41.02918),425.33546868424804,POINT (28.98331 41.02918)
89,POINT (28.9780884 41.0317305),POINT (28.9766 41.02874),334.9029855706788,POINT (28.9766 41.02874)
90,POINT (28.9796001 41.03029625),POINT (28.97892 41.02845),195.08387426153521,POINT (28.97892 41.02845)
91,POINT (28.9780884 41.0317305),POINT (28.97341 41.03533),626.0555092198671,POINT (28.97341 41.03533)
92,POINT (29.03867389500005 41.02383388600003),POINT (29.03173 41.03382),1240.3615621339047,POINT (29.03173 41.03382)
93,POINT (28.9910654 41.0517089),POINT (28.99103 41.05585),403.5580997011468,POINT (28.99103 41.05585)
94,POINT (28.6790924 41.0620668),POINT (28.73866 41.10619000000001),7884.980711654747,POINT (28.73866 41.10619000000001)
95,POINT (28.9796001 41.03029625),POINT (28.97919000000001 41.02865),166.75496415005188,POINT (28.97919000000001 41.02865)
96,POINT (28.95731345 41.01471045),POINT (28.97787000000001 41.0029),2552.689009039516,POINT (28.97787000000001 41.0029)
97,POINT (28.9796001 41.03029625),POINT (28.98118 41.03077),181.09344754080874,POINT (28.98118 41.03077)
98,POINT (28.9796001 41.03029625),POINT (28.98167 41.03073),233.2802455526492,POINT (28.98167 41.03073)
99,POINT (29.0381205 40.9852841),POINT (29.02667000000001 40.98598),1270.9400578742566,POINT (29.02667000000001 40.98598)
100,POINT (29.0381205 40.9852841),POINT (29.02542 40.98627000000001),1410.9483954746895,POINT (29.02542 40.98627000000001)
101,POINT (28.95731345 41.01471045),POINT (28.97874 41.0068),2496.844126250566,POINT (28.97874 41.0068)
102,POINT (29.0381205 40.9852841),POINT (29.02177 40.98441),1814.2274409532927,POINT (29.02177 40.98441)
103,POINT (28.9458539 41.0123804),POINT (28.94331 41.01309000000001),290.31564078962947,POINT (28.94331 41.01309000000001)
104,POINT (28.9796001 41.03029625),POINT (28.98221 41.03433),488.0751183212679,POINT (28.98221 41.03433)
105,POINT (28.8603265 41.1061175),POINT (28.90203 41.08744),4968.299337922255,POINT (28.90203 41.08744)
106,POINT (28.99013805 41.03554045),POINT (28.98564 41.03203),604.6275951209299,POINT (28.98564 41.03203)
107,POINT (28.99013805 41.03554045),POINT (28.98488 41.03297),634.3323040428082,POINT (28.98488 41.03297)
108,POINT (28.9796001 41.03029625),POINT (28.9811 41.03324),331.5754977268642,POINT (28.9811 41.03324)
109,POINT (28.9796001 41.03029625),POINT (28.9748 41.02437000000001),785.2630250311444,POINT (28.9748 41.02437000000001)
110,POINT (28.9458539 41.0123804),POINT (28.94568 41.01106),130.16040773128918,POINT (28.94568 41.01106)
111,POINT (28.9458539 41.0123804),POINT (28.94706 41.01232),133.80757488044333,POINT (28.94706 41.01232)
112,POINT (28.9967448 41.0652149),POINT (28.99495 41.0613),430.230645041217,POINT (28.99495 41.0613)
113,POINT (28.9780884 41.0317305),POINT (28.97276 41.02625),796.2943788932207,POINT (28.97276 41.02625)
114,POINT (28.9821093 41.0412067),POINT (28.9863 41.045),593.6302908387617,POINT (28.9863 41.045)
115,POINT (28.9868253 41.0523695),POINT (28.98672 41.05458),215.7320505667925,POINT (28.98672 41.05458)
116,POINT (28.9458539 41.0123804),POINT (28.94512000000001 41.01077),176.81857098900278,POINT (28.94512000000001 41.01077)
117,POINT (28.9458539 41.0123804),POINT (28.94738 41.0248),1222.5312240947865,POINT (28.94738 41.0248)
118,POINT (28.9796001 41.03029625),POINT (28.97594 41.02669),536.7440201922386,POINT (28.97594 41.02669)
119,POINT (29.0381205 40.9852841),POINT (29.02534 40.99259),1585.262292676502,POINT (29.02534 40.99259)
120,POINT (29.0381205 40.9852841),POINT (29.02552 40.99462),1666.577794577126,POINT (29.02552 40.99462)
121,POINT (29.0381205 40.9852841),POINT (29.02656 40.99295),1483.032662885064,POINT (29.02656 40.99295)
122,POINT (29.0400193 40.9830405),POINT (29.0431 40.97555),805.524023582475,POINT (29.0431 40.97555)
123,POINT (28.99013805 41.03554045),POINT (28.98927 41.03392),184.91148887999424,POINT (28.98927 41.03392)
124,POINT (28.9796001 41.03029625),POINT (28.98052 41.03207),200.69327289031892,POINT (28.98052 41.03207)
125,POINT (28.9780884 41.0317305),POINT (28.97364 41.02575),763.4293802795704,POINT (28.97364 41.02575)
126,POINT (28.9796001 41.03029625),POINT (28.97418 41.02373),877.7378946266504,POINT (28.97418 41.02373)
127,POINT (28.9796001 41.03029625),POINT (28.97401 41.02591),752.7452486193107,POINT (28.97401 41.02591)
128,POINT (28.9780884 41.0317305),POINT (28.97303 41.02532),839.4502769183607,POINT (28.97303 41.02532)
129,POINT (28.9780884 41.0317305),POINT (28.97202 41.02841),746.4006228756083,POINT (28.97202 41.02841)
130,POINT (28.86846160000005 41.00936748700008),POINT (28.85343 41.00837),1668.844733073642,POINT (28.85343 41.00837)
131,POINT (28.9967448 41.0652149),POINT (28.99426 41.06208),411.2934409034591,POINT (28.99426 41.06208)
132,POINT (28.9967448 41.0652149),POINT (28.99549 41.06202),340.9720745510813,POINT (28.99549 41.06202)
133,POINT (28.8337968 40.99189570000001),POINT (28.84474 40.99144),1213.6839979314057,POINT (28.84474 40.99144)
134,POINT (28.99561331400002 41.05553430600003),POINT (28.99253 41.05783),408.44817465086186,POINT (28.99253 41.05783)
135,POINT (29.12400894000007 40.93558331700007),POINT (29.1295 40.871),6314.633390333039,POINT (29.1295 40.871)
136,POINT (28.9780884 41.0317305),POINT (28.9724 41.03435),680.2050451435884,POINT (28.9724 41.03435)
137,POINT (29.016612 41.066644),POINT (29.02262 41.05091),1671.2111118874795,POINT (29.02262 41.05091)
138,POINT (28.99013805 41.03554045),POINT (28.99017000000001 41.03655),98.44248350267051,POINT (28.99017000000001 41.03655)
139,POINT (28.99013805 41.03554045),POINT (28.99014 41.03789),228.9594140832117,POINT (28.99014 41.03789)
140,POINT (28.9780884 41.0317305),POINT (28.97472 41.03234000000001),378.03416275479566,POINT (28.97472 41.03234000000001)
141,POINT (28.9780884 41.0317305),POINT (28.97666 41.0364),481.8415658536611,POINT (28.97666 41.0364)
142,POINT (29.03654855 41.07449),POINT (29.03729 41.08725),1245.5923158743456,POINT (29.03729 41.08725)
143,POINT (28.9796001 41.03029625),POINT (28.98457 41.03042),550.9732047115363,POINT (28.98457 41.03042)
144,POINT (29.0381205 40.9852841),POINT (29.02221 40.98447),1765.2425397744487,POINT (29.02221 40.98447)
145,POINT (28.95731345 41.01471045),POINT (28.97953 41.00315),2707.9386853349233,POINT (28.97953 41.00315)
146,POINT (28.99013805 41.03554045),POINT (28.99128 41.03527),129.28346057303943,POINT (28.99128 41.03527)
147,POINT (28.99013805 41.03554045),POINT (28.98525 41.03323),586.6932567246508,POINT (28.98525 41.03323)
148,POINT (29.0346424 41.0199689),POINT (29.01917000000001 41.02971),1959.931484022346,POINT (29.01917000000001 41.02971)
149,POINT (28.9821093 41.0412067),POINT (28.98675 41.04099),514.7876895344654,POINT (28.98675 41.04099)
150,POINT (28.9458539 41.0123804),POINT (28.94659 41.01237),81.59185329500178,POINT (28.94659 41.01237)
