hclinic_name,hclinic_search_url,lat,lon
Hairextrem Saç Ekimi,https://www.google.com/maps/search/Hairextrem Saç Ekimi,41.04293325,28.83093315
Estevera Saç Ekimi ve Saç Sağlığı,https://www.google.com/maps/search/Estevera Saç Ekimi ve Saç Sağlığı,41.06247485,28.98725545
EsteFirst,https://www.google.com/maps/search/EsteFirst,40.98946395,29.06724095
Este Cerrahi,https://www.google.com/maps/search/Este Cerrahi,41.066058,28.9989821
Jethair Clinic,https://www.google.com/maps/search/Jethair Clinic,41.0625182,28.9892473
Estethica,https://www.google.com/maps/search/Estethica,41.03554045,28.99013805
Acıbadem Ataşehir Hastanesi,https://www.google.com/maps/search/Acıbadem Ataşehir Hastanesi,40.9856041,29.1087565
Clinicexpert,https://www.google.com/maps/search/Clinicexpert,41.0616722,28.9892825
Emphair Saç Ekimi,https://www.google.com/maps/search/Emphair Saç Ekimi,40.98505865,29.10863585
HairNeva,https://www.google.com/maps/search/HairNeva,41.0557129,28.9993687
Acıbadem Taksim Hastanesi,https://www.google.com/maps/search/Acıbadem Taksim Hastanesi,41.0412067,28.9821093
Vizyon Hair Trans,https://www.google.com/maps/search/Vizyon Hair Trans,40.980549,28.7926494
Graftpoint,https://www.google.com/maps/search/Graftpoint,41.0726145,29.0183963
Mono Hair Clinic,https://www.google.com/maps/search/Mono Hair Clinic,41.1797916,28.8864184
Medicana Çamlıca Hastanesi,https://www.google.com/maps/search/Medicana Çamlıca Hastanesi,41.0049251,29.06091275
Surgery İstanbul,https://www.google.com/maps/search/Surgery İstanbul,41.0693131,28.9459883
Estehair,https://www.google.com/maps/search/Estehair,41.0527306,29.0001178
On Hair Clinic,https://www.google.com/maps/search/On Hair Clinic,41.036385,28.953994
BRN Klinik,https://www.google.com/maps/search/BRN Klinik,41.2165614,29.0284631
Özel Esteliv Polikliniği,https://www.google.com/maps/search/Özel Esteliv Polikliniği,41.0100586,28.6530678
Esteworld,https://www.google.com/maps/search/Esteworld,41.01471045,28.95731345
Medicana Haznedar Hastanesi,https://www.google.com/maps/search/Medicana Haznedar Hastanesi,41.0068279,28.8700308
Essila Hair Center,https://www.google.com/maps/search/Essila Hair Center,41.0161145,28.6281981
Hospitaleste Ataşehir,https://www.google.com/maps/search/Hospitaleste Ataşehir,40.9874832,29.0982918
Esteday Clinic,https://www.google.com/maps/search/Esteday Clinic,40.9854081,29.1130349
ATA Hair Clinic,https://www.google.com/maps/search/ATA Hair Clinic,40.9713669,29.0609895
Halki Esthetics,https://www.google.com/maps/search/Halki Esthetics,40.9725396,29.09154825
Estepalace,https://www.google.com/maps/search/Estepalace,41.0679197,28.9936129
OTA Jinemed Hastanesi,https://www.google.com/maps/search/OTA Jinemed Hastanesi,41.0487174,29.0004588
İlhan Serdaroğlu Saç Ekim Merkezi,https://www.google.com/maps/search/İlhan Serdaroğlu Saç Ekim Merkezi,40.959921,29.081701
New Hair Plus Saç Ekim Merkezi,https://www.google.com/maps/search/New Hair Plus Saç Ekim Merkezi,40.9623905,28.8239706
Prof. Dr. Ferit Demirkan,https://www.google.com/maps/search/Prof. Dr. Ferit Demirkan,41.0793328,29.0224208
Songül Alcı Saç Ekimi,https://www.google.com/maps/search/Songül Alcı Saç Ekimi,40.9852841,29.0381205
Dr.Evren Gökeşme,https://www.google.com/maps/search/Dr.Evren Gökeşme,40.9932673,29.1188532
Özel Leonart Polikliniği,https://www.google.com/maps/search/Özel Leonart Polikliniği,40.9963309,28.8651574
Aslı Tarcan Hair Clinic,https://www.google.com/maps/search/Aslı Tarcan Hair Clinic,41.0075534,28.892241
İmed İstanbul,https://www.google.com/maps/search/İmed İstanbul,41.0740579,29.0167598
Memorial,https://www.google.com/maps/search/Memorial,41.03029625,28.9796001
Medicana Kadıköy Hastanesi,https://www.google.com/maps/search/Medicana Kadıköy Hastanesi,40.9852789,29.038124
Medeks Hair Center,https://www.google.com/maps/search/Medeks Hair Center,41.0620394,28.9736036
Dr.Tulunay Plastik Cerrah,https://www.google.com/maps/search/Dr.Tulunay Plastik Cerrah,41.0530658,28.9946951
Acıbadem Kadıköy Hastanesi,https://www.google.com/maps/search/Acıbadem Kadıköy Hastanesi,41.0072355,29.0428689
Promed Hair Clinic,https://www.google.com/maps/search/Promed Hair Clinic,40.9877087,28.7898883
Hair Center Of Turkey,https://www.google.com/maps/search/Hair Center Of Turkey,40.9918957,28.8337968
Royal Estetik,https://www.google.com/maps/search/Royal Estetik,41.0170686,29.05810805
 Acıbadem Bakırköy Hastanesi,https://www.google.com/maps/search/ Acıbadem Bakırköy Hastanesi,40.9775523,28.8727842
